Start,Peak,End,Duration,LOCAbsValPeak,ROCAbsValPeak,LOCAbsRiseSlope,ROCAbsRiseSlope,LOCAbsFallSlope,ROCAbsFallSlope,Stage
1733.21875,1733.3515625,1733.4609375,0.2421875,65.21810180928946,51.2430834315189,550.1876008327307,340.1515162152359,550.1599485347807,419.58081540083646,W
1736.453125,1736.546875,1736.6171875,0.1640625,52.28137239518562,41.35464813075014,539.5975092943496,480.0416881535172,706.0247891649583,515.5198073194993,W
3068.890625,3068.984375,3069.078125,0.1875,34.855506901867614,48.749818706556866,445.14619088499126,453.39077152483236,224.6831996942059,557.0204087577437,W
3941.9609375,3942.2734375,3942.4140625,0.453125,53.97249709611805,28.49689595780477,170.9644033550844,94.89216047304797,469.9839031686137,96.66315165091213,W
8085.296875,8106.1875,8159.734375,74.4375,62.105812359398044,28.600868558159057,1.5260796433691846,0.949992487931436,0.715891876686937,0.6218157047605978,W
8085.296875,8106.46875,8159.734375,74.4375,62.391661412550704,34.91621448468735,1.5193083561523026,1.235662063219292,0.7250383692601652,0.7436622351165678,W
8085.296875,8106.734375,8159.734375,74.4375,67.65905506187246,27.633638982205973,1.7461924315910808,0.8806394048858109,0.8280568969234953,0.609982230941501,W
8085.296875,8107.0234375,8159.734375,74.4375,64.93856814782114,26.815719232109757,1.5977453100637744,0.8312768065423767,0.7809864626842186,0.597810245545402,W
8085.296875,8107.65625,8159.734375,74.4375,68.84003893793029,33.0995291714767,1.7270153628306524,1.0887870269857858,0.8653921279424532,0.7257355833984093,W
8085.296875,8108.46875,8159.734375,74.4375,85.61102561818991,22.776679232832883,2.3902239593710584,0.6051192444662542,1.2062466046841855,0.535877568849038,W
8085.296875,8109.203125,8159.734375,74.4375,66.87766023797927,21.89091898794625,1.5331808806626133,0.5494792051442552,0.8530487710684389,0.5261365639211345,W
8085.296875,8114.3828125,8159.734375,74.4375,76.77669495212753,24.832985144193145,1.600486150480412,0.5527775545906589,1.1687503694542016,0.6511000453818262,W
8085.296875,8122.515625,8159.734375,74.4375,76.8027355695929,35.254746404859006,1.2514574175638415,0.7120017374278449,1.4248381808810258,1.0733881622180375,W
8085.296875,8153.328125,8159.734375,74.4375,126.25466319827011,28.38354304323438,1.4115514324465805,0.28852345507789406,15.997287597790109,5.1635453347789975,W
8085.296875,8159.6328125,8159.734375,74.4375,235.7115811962662,55.75111896553802,2.764295888332982,0.6322135538489928,2086.7893333793377,595.1659148133573,W
8159.765625,8159.890625,8159.9609375,0.1953125,275.0702153308105,64.07940524967242,2093.3010162222367,581.2456075444907,3366.2943606820145,777.9287027735522,W
8159.96875,8160.015625,8160.0859375,0.1171875,132.4672986669214,31.86300721546071,2947.962099654637,713.2714941518616,1524.4590612515924,377.82446740228835,W
8160.09375,8161.3515625,8161.3828125,1.2890625,189.02354563026498,42.02565723380482,155.20862582229438,33.97543847713733,3492.4369988679036,876.2210256885933,W
8161.390625,8161.453125,8161.5390625,0.1484375,437.8568362652503,109.74919125384818,7532.361992743095,1805.227984238924,4049.1141925284105,1066.1221074768691,W
8161.390625,8161.5078125,8161.5390625,0.1484375,471.4752312843058,112.58342773738894,4304.136700292257,986.9737429203072,12210.852670062905,3022.5313630346946,W
8161.546875,8161.5625,8161.84375,0.296875,326.6223997914672,82.8638308250618,19839.714580854175,4802.122799950226,1323.6724094053006,327.32240174743083,W
8161.546875,8161.6875,8161.84375,0.296875,412.02490850092045,90.71475127622104,2811.7194598065757,589.3979676471575,2929.1863926700416,639.4262140327946,W
8161.546875,8161.7578125,8161.84375,0.296875,476.00035611350125,119.64280239215084,2335.4179108936155,604.318646366769,5007.591456113195,1285.2038717177916,W
8161.546875,8161.7734375,8161.84375,0.296875,477.1422333449796,117.88057707759799,2179.3946165433395,554.8634004013793,6136.6295892082635,1545.741972070327,W
8161.8515625,8161.890625,8161.9453125,0.09375,202.69832898375813,53.1966402420511,4560.060459591483,1148.0477238896287,3078.0716995106527,773.1252127702819,W
